epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,25337.4,1.64223,0.97028,1.18795,0.90435,0.82833,0.87188,0.43328,1.42631,2.18457,1.06402,0.00023765,0.00023765,0.00023765
55,25808,1.63029,0.95178,1.17999,0.9054,0.82798,0.87185,0.43421,1.42633,2.18284,1.06405,0.0002327,0.0002327,0.0002327
56,26278.5,1.63064,0.94198,1.18403,0.90497,0.82867,0.87219,0.4348,1.42608,2.1871,1.06388,0.00022775,0.00022775,0.00022775
57,26749.5,1.63137,0.95523,1.18442,0.90545,0.82852,0.87228,0.43524,1.4255,2.17721,1.06368,0.0002228,0.0002228,0.0002228
58,27220.1,1.62867,0.93611,1.18077,0.90539,0.82872,0.87239,0.43596,1.42605,2.17216,1.06404,0.00021785,0.00021785,0.00021785
59,27690.4,1.63145,0.9445,1.18225,0.90536,0.82892,0.87246,0.43625,1.42622,2.1628,1.06429,0.0002129,0.0002129,0.0002129
60,28159.8,1.62531,0.93054,1.17964,0.90526,0.82971,0.87278,0.43707,1.42685,2.15841,1.06474,0.00020795,0.00020795,0.00020795
61,28629,1.62604,0.93434,1.18793,0.90574,0.8302,0.87311,0.438,1.42679,2.14522,1.06523,0.000203,0.000203,0.000203
62,29098.3,1.62081,0.93208,1.17784,0.90642,0.83019,0.87318,0.43878,1.42643,2.12945,1.06541,0.00019805,0.00019805,0.00019805
63,29567.1,1.61308,0.92996,1.17279,0.90676,0.8304,0.87311,0.43948,1.4261,2.11343,1.06552,0.0001931,0.0001931,0.0001931
64,30035.6,1.62149,0.93157,1.1793,0.90764,0.83035,0.87332,0.43996,1.42545,2.09244,1.06602,0.00018815,0.00018815,0.00018815
65,30503.8,1.6081,0.91852,1.17301,0.90771,0.83156,0.87369,0.44036,1.42572,2.0901,1.06619,0.0001832,0.0001832,0.0001832
66,30972.3,1.61088,0.91378,1.17753,0.90762,0.83195,0.87368,0.44071,1.42514,2.07541,1.0661,0.00017825,0.00017825,0.00017825
