epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,48643,1.72863,0.95406,0.0058,0.91019,0.82539,0.87057,0.45026,1.45729,1.05649,0.00566,0.0001238,0.0001238,0.0001238
78,49218.6,1.71618,0.95367,0.00584,0.91039,0.82543,0.87077,0.45081,1.45725,1.05606,0.00566,0.00011885,0.00011885,0.00011885
79,49794.3,1.71846,0.95798,0.00581,0.91072,0.82561,0.87072,0.45082,1.45625,1.05606,0.00565,0.0001139,0.0001139,0.0001139
80,50369.5,1.71754,0.95349,0.00579,0.91053,0.82636,0.87089,0.45105,1.45675,1.05682,0.00565,0.00010895,0.00010895,0.00010895
81,50945.3,1.71039,0.94502,0.00577,0.91065,0.82647,0.8733,0.45122,1.45654,1.0574,0.00565,0.000104,0.000104,0.000104
82,51521.1,1.70793,0.94551,0.0058,0.9113,0.82653,0.87365,0.4515,1.45486,1.05795,0.00564,9.905e-05,9.905e-05,9.905e-05
83,52096.7,1.70206,0.94122,0.00574,0.91099,0.82729,0.87388,0.45142,1.45447,1.05579,0.00564,9.41e-05,9.41e-05,9.41e-05
84,52672,1.70686,0.94275,0.00576,0.91162,0.82687,0.87385,0.45154,1.45408,1.05405,0.00564,8.915e-05,8.915e-05,8.915e-05
85,53247.3,1.69895,0.93901,0.00572,0.91226,0.8256,0.87369,0.45122,1.45436,1.05681,0.00565,8.42e-05,8.42e-05,8.42e-05
86,53822.7,1.69556,0.92478,0.00569,0.91103,0.82727,0.8716,0.45114,1.45404,1.0535,0.00565,7.925e-05,7.925e-05,7.925e-05
87,54398.2,1.68822,0.91784,0.00565,0.91142,0.82732,0.87407,0.45161,1.45352,1.0519,0.00565,7.43e-05,7.43e-05,7.43e-05
88,54973.8,1.68549,0.91721,0.00565,0.9111,0.82755,0.87413,0.45148,1.45453,1.05072,0.00565,6.935e-05,6.935e-05,6.935e-05
89,55549.4,1.68374,0.9235,0.00567,0.91225,0.82664,0.87417,0.45129,1.45415,1.05527,0.00565,6.44e-05,6.44e-05,6.44e-05
90,56124.7,1.679,0.91326,0.00561,0.91194,0.82689,0.87427,0.4515,1.45536,1.05675,0.00566,5.945e-05,5.945e-05,5.945e-05
91,56694.3,1.54128,0.82968,0.00634,0.91262,0.82641,0.87431,0.45136,1.45692,1.05371,0.00566,5.45e-05,5.45e-05,5.45e-05
92,57263.4,1.54193,0.81924,0.00629,0.91259,0.82636,0.87196,0.45048,1.45738,1.05449,0.00566,4.955e-05,4.955e-05,4.955e-05
93,57831.8,1.52542,0.80496,0.00621,0.91275,0.82641,0.87206,0.45032,1.45835,1.05051,0.00566,4.46e-05,4.46e-05,4.46e-05
94,58401.1,1.51936,0.797,0.00624,0.91359,0.82541,0.87192,0.44939,1.45817,1.05566,0.00566,3.965e-05,3.965e-05,3.965e-05
95,58970.2,1.51726,0.79408,0.00618,0.91286,0.82494,0.87167,0.44822,1.45874,1.06209,0.00566,3.47e-05,3.47e-05,3.47e-05
96,59539.4,1.51921,0.79202,0.0062,0.91282,0.82491,0.87168,0.44815,1.45955,1.06412,0.00567,2.975e-05,2.975e-05,2.975e-05
97,60107.8,1.50576,0.78541,0.00618,0.91227,0.82423,0.87143,0.44745,1.46025,1.06852,0.00567,2.48e-05,2.48e-05,2.48e-05
98,60677.2,1.50938,0.77269,0.00612,0.91094,0.82439,0.87123,0.44691,1.461,1.07228,0.00567,1.985e-05,1.985e-05,1.985e-05
99,61246.3,1.50469,0.78479,0.00618,0.91126,0.82414,0.87094,0.4465,1.46011,1.08125,0.00567,1.49e-05,1.49e-05,1.49e-05
100,61815,1.50072,0.77368,0.00613,0.91061,0.82422,0.87089,0.44619,1.4602,1.08341,0.00567,9.95e-06,9.95e-06,9.95e-06
